"Month","Monthly New York City average temperature: degrees C (?). Jan 1946 ? Dec 1959."
"1946-01",11.506
"1946-02",11.022
"1946-03",14.405
"1946-04",14.442
"1946-05",16.524
"1946-06",17.918
"1946-07",18.959
"1946-08",18.309
"1946-09",18.160
"1946-10",16.691
"1946-11",14.480
"1946-12",17.862
"1947-01",12.082
"1947-02",10.558
"1947-03",12.138
"1947-04",14.442
"1947-05",16.152
"1947-06",17.714
"1947-07",19.015
"1947-08",19.164
"1947-09",17.900
"1947-10",16.933
"1947-11",13.364
"1947-12",11.468
"1948-01",10.000
"1948-02",10.985
"1948-03",12.993
"1948-04",14.480
"1948-05",16.134
"1948-06",17.862
"1948-07",19.238
"1948-08",19.089
"1948-09",18.067
"1948-10",15.576
"1948-11",14.926
"1948-12",12.398
"1949-01",12.435
"1949-02",12.416
"1949-03",13.067
"1949-04",15.093
"1949-05",16.766
"1949-06",18.680
"1949-07",19.796
"1949-08",19.424
"1949-09",17.398
"1949-10",16.877
"1949-11",13.866
"1949-12",12.658
"1950-01",13.048
"1950-02",11.301
"1950-03",12.063
"1950-04",14.164
"1950-05",16.041
"1950-06",18.067
"1950-07",19.108
"1950-08",18.736
"1950-09",17.212
"1950-10",16.394
"1950-11",13.922
"1950-12",11.691
"1951-01",11.970
"1951-02",11.970
"1951-03",12.900
"1951-04",14.888
"1951-05",16.747
"1951-06",17.955
"1951-07",19.201
"1951-08",18.903
"1951-09",17.714
"1951-10",16.097
"1951-11",13.234
"1951-12",12.435
"1952-01",11.952
"1952-02",11.970
"1952-03",12.639
"1952-04",15.204
"1952-05",16.283
"1952-06",18.699
"1952-07",19.851
"1952-08",18.959
"1952-09",18.030
"1952-10",15.316
"1952-11",14.126
"1952-12",12.323
"1953-01",12.230
"1953-02",12.230
"1953-03",13.234
"1953-04",14.647
"1953-05",16.729
"1953-06",18.494
"1953-07",19.312
"1953-08",19.164
"1953-09",18.011
"1953-10",16.338
"1953-11",14.368
"1953-12",12.751
"1954-01",11.022
"1954-02",12.658
"1954-03",12.844
"1954-04",15.037
"1954-05",16.190
"1954-06",18.253
"1954-07",19.182
"1954-08",18.513
"1954-09",17.621
"1954-10",16.506
"1954-11",13.717
"1954-12",11.840
"1955-01",10.855
"1955-02",11.636
"1955-03",12.825
"1955-04",15.019
"1955-05",16.952
"1955-06",17.937
"1955-07",20.000
"1955-08",19.535
"1955-09",17.770
"1955-10",16.283
"1955-11",13.327
"1955-12",10.818
"1956-01",11.264
"1956-02",12.026
"1956-03",12.230
"1956-04",14.126
"1956-05",15.818
"1956-06",18.420
"1956-07",18.699
"1956-08",18.903
"1956-09",17.175
"1956-10",16.041
"1956-11",13.866
"1956-12",12.844
"1957-01",10.613
"1957-02",12.082
"1957-03",12.955
"1957-04",15.000
"1957-05",16.747
"1957-06",18.792
"1957-07",19.312
"1957-08",18.680
"1957-09",18.067
"1957-10",15.632
"1957-11",14.349
"1957-12",12.732
"1958-01",11.152
"1958-02",10.372
"1958-03",12.639
"1958-04",14.981
"1958-05",16.097
"1958-06",17.602
"1958-07",19.331
"1958-08",18.978
"1958-09",17.695
"1958-10",15.539
"1958-11",14.182
"1958-12",10.781
"1959-01",11.059
"1959-02",11.152
"1959-03",12.621
"1959-04",14.981
"1959-05",17.100
"1959-06",18.160
"1959-07",19.015
"1959-08",19.331
"1959-09",18.346
"1959-10",16.115
"1959-11",13.532
"1959-12",12.398

Monthly New York City average temperature: degrees C (?). Jan 1946 ? Dec 1959.

